답사여부,관리기관명,지정번호,보호수지정일자,보호수해지일자,보호수유형명,과명,학명,나무종류,그루수,나무나이,나무높이,가슴높이둘레,나무갓지름,나무품격명,나무지목명,지적,소유자구분,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
O,홍성군청,8-61,1982-10-01,,거목,은행나무,Ginkgo biloba L.,은행나무,1,902,25,970,,시·군나무,도로,,,,충청남도 홍성군 금마면 장성리 577-1,36.6042903,126.6822284,2023-12-31
X,홍성군청,8-63,1982-10-01,,거목,은행나무,Ginkgo biloba L.,은행나무,1,780,25,650,,시·군나무,도로,,,,충청남도 홍성군 구항면 청광리 602,36.5574878,126.6485858,2023-12-31
X,홍성군청,08-Jan,2008-09-20,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,650,22,370,,시·군나무,대,,,,충청남도 홍성군 결성면 읍내리 586,36.5288542,126.5410204,2023-12-31
X,홍성군청,08-Feb,2008-09-20,,거목,팽나무,Celtis sinensis Pers.,팽나무,1,650,20,280,,시·군나무,대,,,,충청남도 홍성군 결성면 읍내리 586,36.5288542,126.5410204,2023-12-31
X,홍성군청,8-60,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,2,600,20,650,,도나무,대,,,,충청남도 홍성군 홍성읍 오관리 98,36.6013022,126.6586968,2023-12-31
X,홍성군청,8-12-0244,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,550,20,680,,시·군나무,전,,,,충청남도 홍성군 금마면 송암리278,36.5936803,126.7190897,2023-12-31
X,홍성군청,8-12-0266,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,550,14,640,,시·군나무,대,,,,충청남도 홍성군 서부면 어사리 176,36.5648531,126.4916424,2023-12-31
X,홍성군청,8-62,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,550,15,570,,시·군나무,대,,,,충청남도 홍성군 장곡면 산성리 168,36.4971655,126.7422292,2023-12-31
X,홍성군청,8-64,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,550,10,510,,시·군나무,전,,,,충청남도 홍성군 결성면 형산리 163,36.5722283,126.5678381,2023-12-31
X,홍성군청,8-12-0274,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,2,550,20,450,,시·군나무,대,,,,충청남도 홍성군 갈산면 기산리 242,36.6228516,126.5228264,2023-12-31
X,홍성군청,8-12-0242,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,550,14,450,,시·군나무,도로,,,,충청남도 홍성군 금마면 부평리 25-5,36.61334,126.7389833,2023-12-31
X,홍성군청,8-12-0241,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,550,22,400,,시·군나무,대,,,,충청남도 홍성군 홍북면 대동리 262-7,36.6434815,126.6896159,2023-12-31
X,홍성군청,8-12-0260,1982-10-01,,거목,은행나무,Ginkgo biloba L.,은행나무,1,550,22,350,,시·군나무,대,,,,충청남도 홍성군 결성면 성호리 918,36.5268912,126.5164215,2023-12-31
X,홍성군청,8-12-0240,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,530,20,540,,시·군나무,전,,,,충청남도 홍성군 홍북면 노은리 143,36.642491,126.7195693,2023-12-31
